shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
301_107,-12.0059749,-77.0147172,1,0.0
301_107,-12.0101114,-77.0150855,2,300.0
301_107,-12.0111835,-77.0143767,3,600.0
301_107,-12.011571,-77.014645,4,900.0
301_107,-12.0123614,-77.015317,5,1200.0
301_107,-12.013364,-77.020251,6,1500.0
301_107,-12.014033,-77.015704,7,1800.0
301_107,-12.014595,-77.015081,8,2100.0
301_107,-12.015736,-77.014246,9,2400.0
301_107,-12.020442,-77.014696,10,2700.0
301_107,-12.021115,-77.015124,11,3000.0
301_107,-12.022227,-77.015848,12,3300.0
301_107,-12.0238533,-77.0209737,13,3600.0
301_107,-12.0248847,-77.0216897,14,3900.0
301_107,-12.0306368,-77.0219511,15,4200.0
301_107,-12.031901,-77.02182,16,4500.0
301_107,-12.0327,-77.021752,17,4800.0
301_107,-12.0339738,-77.0216505,18,5100.0
301_107,-12.0404076,-77.0213492,19,5400.0
301_107,-12.0416205,-77.0211659,20,5700.0
301_107,-12.0427397,-77.0209949,21,6000.0
301_107,-12.0435357,-77.0208732,22,6300.0
301_107,-12.0446031,-77.0207098,23,6600.0
301_107,-12.0455949,-77.0205658,24,6900.0
301_107,-12.051201,-77.020326,25,7200.0
301_107,-12.052551,-77.020136,26,7500.0
301_107,-12.053934,-77.0159293,27,7800.0
301_107,-12.05478,-77.015812,28,8100.0
301_107,-12.0557311,-77.0156554,29,8400.0
301_107,-12.060965,-77.015455,30,8700.0
301_107,-12.062308,-77.015228,31,9000.0
301_107,-12.0631208,-77.0150848,32,9300.0
301_107,-12.0641105,-77.0149188,33,9600.0
301_107,-12.064867,-77.014796,34,9900.0
301_107,-12.065656,-77.01466,35,10200.0
301_107,-12.070728,-77.0144821,36,10500.0
301_107,-12.0719196,-77.0151841,37,10800.0
301_107,-12.073079,-77.015873,38,11100.0
301_107,-12.0736386,-77.014728,39,11400.0
301_107,-12.075182,-77.014786,40,11700.0
301_107,-12.075934,-77.014055,41,12000.0
301_107,-12.080645,-77.0131508,42,12300.0
301_107,-12.0815284,-77.0121281,43,12600.0
301_107,-12.0827179,-77.0120111,44,12900.0
301_107,-12.0830264,-77.0107781,45,13200.0
301_107,-12.08344,-77.005947,46,13500.0
301_107,-12.08209,-77.010101,47,13800.0
301_206,-12.08209,-77.010101,1,0.0
301_206,-12.08146,-77.012093,2,300.0
301_206,-12.0758379,-77.0124013,3,600.0
301_206,-12.0759855,-77.0138867,4,900.0
301_206,-12.0748983,-77.0147266,5,1200.0
301_206,-12.0738276,-77.0146286,6,1500.0
301_206,-12.073019,-77.01457,7,1800.0
301_206,-12.072334,-77.014498,8,2100.0
301_206,-12.0712414,-77.0144159,9,2400.0
301_206,-12.06585,-77.014555,10,2700.0
301_206,-12.065054,-77.014692,11,3000.0
301_206,-12.064316,-77.014818,12,3300.0
301_206,-12.0633084,-77.0149933,13,3600.0
301_206,-12.06212,-77.015192,14,3900.0
301_206,-12.0614015,-77.015318,15,4200.0
301_206,-12.0559849,-77.0155589,16,4500.0
301_206,-12.05506,-77.0157,17,4800.0
301_206,-12.053822,-77.015884,18,5100.0
301_206,-12.0523932,-77.0200949,19,5400.0
301_206,-12.0514075,-77.0202342,20,5700.0
301_206,-12.0457947,-77.0204697,21,6000.0
301_206,-12.0447658,-77.0206263,22,6300.0
301_206,-12.043733,-77.0207822,23,6600.0
301_206,-12.0425194,-77.020955,24,6900.0
301_206,-12.0417206,-77.0210784,25,7200.0
301_206,-12.0407053,-77.0212387,26,7500.0
301_206,-12.0331543,-77.02164,27,7800.0
301_206,-12.032282,-77.021705,28,8100.0
301_206,-12.03045,-77.021914,29,8400.0
301_206,-12.0248041,-77.0215133,30,8700.0
301_206,-12.0237579,-77.0208081,31,9000.0
301_206,-12.022098,-77.015639,32,9300.0
301_206,-12.0215068,-77.0152824,33,9600.0
301_206,-12.0206436,-77.0147248,34,9900.0
301_206,-12.015682,-77.014084,35,10200.0
301_206,-12.014408,-77.015149,36,10500.0
301_206,-12.01386,-77.015786,37,10800.0
301_206,-12.013508,-77.020172,38,11100.0
301_206,-12.0125763,-77.0154296,39,11400.0
301_206,-12.0117,-77.014678,40,11700.0
301_206,-12.01079,-77.014213,41,12000.0
301_206,-12.0059749,-77.0147172,42,12300.0
